type,flagname,default
uintx,CMSYoungGenPerWorker,67108864
uintx,CMS_FLSPadding,1
uintx,CMS_FLSWeight,75
uintx,CMS_SweepPadding,1
uintx,CMS_SweepTimerThresholdMillis,10
uintx,CMS_SweepWeight,75
bool,CheckEndorsedAndExtDirs,false
bool,CheckJNICalls,false
bool,ClassUnloading,true
bool,ClassUnloadingWithConcurrentMark,true
intx,ClearFPUAtPark,0
bool,ClipInlining,true
uintx,CodeCacheExpansionSize,65536
uintx,CodeCacheMinimumFreeSpace,512000
bool,CollectGen0First,false
bool,CompactFields,true
intx,CompilationPolicyChoice,3
ccstrlist,CompileCommand
ccstr,CompileCommandFile
ccstrlist,CompileOnly
intx,CompileThreshold,10000
bool,CompilerThreadHintNoPreempt,true
intx,CompilerThreadPriority,-1
intx,CompilerThreadStackSize,0
uintx,CompressedClassSpaceSize,1073741824
uintx,ConcGCThreads,0
intx,ConditionalMoveLimit,3
intx,ContendedPaddingWidth,128
bool,ConvertSleepToYield,true
bool,ConvertYieldToSleep,false
bool,CrashOnOutOfMemoryError,false
bool,CreateMinidumpOnCrash,false
bool,CriticalJNINatives,true
bool,DTraceAllocProbes,false
bool,DTraceMethodProbes,false
bool,DTraceMonitorProbes,false
bool,Debugging,false
uintx,DefaultMaxRAMFraction,4
intx,DefaultThreadPriority,-1
intx,DeferPollingPageLoopCount,-1
intx,DeferThrSuspendLoopCount,4000
bool,DeoptimizeRandom,false
bool,DisableAttachMechanism,false
bool,DisableExplicitGC,false
bool,DisplayVMOutputToStderr,false
bool,DisplayVMOutputToStdout,false
bool,DoEscapeAnalysis,true
bool,DontCompileHugeMethods,true
bool,DontYieldALot,false
ccstr,DumpLoadedClassList
bool,DumpReplayDataOnError,true
bool,DumpSharedSpaces,false
bool,EagerXrunInit,false
intx,EliminateAllocationArraySizeLimit,64
bool,EliminateAllocations,true
bool,EliminateAutoBox,true
bool,EliminateLocks,true
bool,EliminateNestedLocks,true
intx,EmitSync,0
bool,EnableContended,true
bool,EnableResourceManagementTLABCache,true
bool,EnableSharedLookupCache,true
bool,EnableTracing,false
uintx,ErgoHeapSizeLimit,0
ccstr,ErrorFile
ccstr,ErrorReportServer
double,EscapeAnalysisTimeout,20.000000
bool,EstimateArgEscape,true
bool,ExitOnOutOfMemoryError,false
bool,ExplicitGCInvokesConcurrent,false
bool,ExplicitGCInvokesConcurrentAndUnloadsClasses,false
bool,ExtendedDTraceProbes,false
ccstr,ExtraSharedClassListFile
bool,FLSAlwaysCoalesceLarge,false
uintx,FLSCoalescePolicy,2
double,FLSLargestBlockCoalesceProximity,0.990000
bool,FailOverToOldVerifier,true
bool,FastTLABRefill,true
intx,FenceInstruction,0
intx,FieldsAllocationStyle,1
bool,FilterSpuriousWakeups,true
ccstr,FlightRecorderOptions
bool,ForceNUMA,false
bool,ForceTimeHighResolution,false
intx,FreqInlineSize,325
double,G1ConcMarkStepDurationMillis,10.000000
uintx,G1ConcRSHotCardLimit,4
uintx,G1ConcRSLogCacheSize,10
intx,G1ConcRefinementGreenZone,0
intx,G1ConcRefinementRedZone,0
intx,G1ConcRefinementServiceIntervalMillis,300
uintx,G1ConcRefinementThreads,0
intx,G1ConcRefinementThresholdStep,0
intx,G1ConcRefinementYellowZone,0
uintx,G1ConfidencePercent,50
uintx,G1HeapRegionSize,0
uintx,G1HeapWastePercent,5
uintx,G1MixedGCCountTarget,8
intx,G1RSetRegionEntries,0
uintx,G1RSetScanBlockSize,64
intx,G1RSetSparseRegionEntries,0
intx,G1RSetUpdatingPauseTimePercent,10
intx,G1RefProcDrainInterval,10
uintx,G1ReservePercent,10
uintx,G1SATBBufferEnqueueingThresholdPercent,60
intx,G1SATBBufferSize,1024
intx,G1UpdateBufferSize,256
bool,G1UseAdaptiveConcRefinement,true
uintx,GCDrainStackTargetSize,64
uintx,GCHeapFreeLimit,2
uintx,GCLockerEdenExpansionPercent,5
bool,GCLockerInvokesConcurrent,false
uintx,GCLogFileSize,8192
uintx,GCPauseIntervalMillis,0
uintx,GCTaskTimeStampEntries,200
uintx,GCTimeLimit,98
uintx,GCTimeRatio,99
uintx,HeapBaseMinAddress,2147483648
bool,HeapDumpAfterFullGC,false
bool,HeapDumpBeforeFullGC,false
bool,HeapDumpOnOutOfMemoryError,false
ccstr,HeapDumpPath
uintx,HeapFirstMaximumCompactionCount,3
uintx,HeapMaximumCompactionInterval,20
uintx,HeapSizePerGCThread,87241520
bool,IgnoreEmptyClassPaths,false
bool,IgnoreUnrecognizedVMOptions,false
uintx,IncreaseFirstTierCompileThresholdAt,50
bool,IncrementalInline,true
uintx,InitialBootClassLoaderMetaspaceSize,4194304
uintx,InitialCodeCacheSize,2555904
uintx,InitialHeapSize,127926272
uintx,InitialRAMFraction,64
uintx,InitialSurvivorRatio,8
uintx,InitialTenuringThreshold,7
uintx,InitiatingHeapOccupancyPercent,45
bool,Inline,true
