type,flagname,default
intx,CMSInitiatingOccupancyFraction,-1
intx,CMSInitiatingPermOccupancyFraction,-1
intx,CMSIsTooFullPercentage,98
bool,CMSLoopWarn,false
uintx,CMSMaxAbortablePrecleanLoops,0
intx,CMSMaxAbortablePrecleanTime,5000
uintx,CMSOldPLABMax,1024
uintx,CMSOldPLABMin,16
uintx,CMSOldPLABNumRefills,4
uintx,CMSOldPLABReactivityFactor,2
bool,CMSOldPLABResizeQuicker,false
uintx,CMSOldPLABToleranceFactor,4
bool,CMSPLABRecordAlways,true
uintx,CMSParPromoteBlocksToClaim,16
bool,CMSParallelRemarkEnabled,true
bool,CMSParallelSurvivorRemarkEnabled,true
bool,CMSPermGenPrecleaningEnabled,true
uintx,CMSPrecleanDenominator,3
uintx,CMSPrecleanIter,3
uintx,CMSPrecleanNumerator,2
bool,CMSPrecleanRefLists1,true
bool,CMSPrecleanRefLists2,false
bool,CMSPrecleanSurvivors1,false
bool,CMSPrecleanSurvivors2,true
uintx,CMSPrecleanThreshold,1000
bool,CMSPrecleaningEnabled,true
bool,CMSPrintChunksInDump,false
bool,CMSPrintObjectsInDump,false
uintx,CMSRemarkVerifyVariant,1
bool,CMSReplenishIntermediate,true
uintx,CMSRescanMultiple,32
uintx,CMSRevisitStackSize,1048576
uintx,CMSSamplingGrain,16384
bool,CMSScavengeBeforeRemark,false
uintx,CMSScheduleRemarkEdenPenetration,50
uintx,CMSScheduleRemarkEdenSizeThreshold,2097152
uintx,CMSScheduleRemarkSamplingRatio,5
bool,CMSSplitIndexedFreeListBlocks,true
intx,CMSTriggerPermRatio,80
intx,CMSTriggerRatio,80
intx,CMSWaitDuration,2000
uintx,CMSWorkQueueDrainThreshold,10
bool,CMSYield,true
uintx,CMSYieldSleepCount,0
intx,CMSYoungGenPerWorker,67108864
uintx,CMS_FLSPadding,1
uintx,CMS_FLSWeight,75
uintx,CMS_SweepPadding,1
uintx,CMS_SweepTimerThresholdMillis,10
uintx,CMS_SweepWeight,75
bool,CheckJNICalls,false
bool,ClassUnloading,true
intx,ClearFPUAtPark,0
bool,ClipInlining,true
uintx,CodeCacheExpansionSize,65536
uintx,CodeCacheFlushingMinimumFreeSpace,1536000
uintx,CodeCacheMinimumFreeSpace,512000
bool,CollectGen0First,false
bool,CompactFields,true
intx,CompilationPolicyChoice,0
intx,CompilationRepeat,0
ccstrlist,CompileCommand
ccstr,CompileCommandFile
ccstrlist,CompileOnly
intx,CompileThreshold,10000
bool,CompilerThreadHintNoPreempt,true
intx,CompilerThreadPriority,-1
intx,CompilerThreadStackSize,0
uintx,ConcGCThreads,0
intx,ConditionalMoveLimit,3
bool,ConvertSleepToYield,true
bool,ConvertYieldToSleep,false
bool,CreateMinidumpOnCrash,false
bool,CriticalJNINatives,true
bool,DTraceAllocProbes,false
bool,DTraceMethodProbes,false
bool,DTraceMonitorProbes,false
bool,Debugging,false
uintx,DefaultMaxRAMFraction,4
intx,DefaultThreadPriority,-1
intx,DeferPollingPageLoopCount,-1
intx,DeferThrSuspendLoopCount,4000
bool,DeoptimizeRandom,false
bool,DisableAttachMechanism,false
bool,DisableExplicitGC,false
bool,DisplayVMOutputToStderr,false
bool,DisplayVMOutputToStdout,false
bool,DoEscapeAnalysis,true
bool,DontCompileHugeMethods,true
bool,DontYieldALot,false
bool,DumpSharedSpaces,false
bool,EagerXrunInit,false
intx,EliminateAllocationArraySizeLimit,64
bool,EliminateAllocations,true
bool,EliminateLocks,true
bool,EliminateNestedLocks,true
intx,EmitSync,0
bool,EnableTracing,false
uintx,ErgoHeapSizeLimit,0
ccstr,ErrorFile
ccstr,ErrorReportServer
bool,EstimateArgEscape,true
bool,ExplicitGCInvokesConcurrent,false
bool,ExplicitGCInvokesConcurrentAndUnloadsClasses,false
bool,ExtendedDTraceProbes,false
bool,FLSAlwaysCoalesceLarge,false
uintx,FLSCoalescePolicy,2
double,FLSLargestBlockCoalesceProximity,0.990000
bool,FailOverToOldVerifier,true
bool,FastTLABRefill,true
intx,FenceInstruction,0
intx,FieldsAllocationStyle,1
bool,FilterSpuriousWakeups,true
bool,ForceNUMA,false
bool,ForceTimeHighResolution,false
intx,FreqInlineSize,325
double,G1ConcMarkStepDurationMillis,10.000000
uintx,G1ConcRSHotCardLimit,4
uintx,G1ConcRSLogCacheSize,10
intx,G1ConcRefinementGreenZone,0
intx,G1ConcRefinementRedZone,0
intx,G1ConcRefinementServiceIntervalMillis,300
uintx,G1ConcRefinementThreads,0
intx,G1ConcRefinementThresholdStep,0
intx,G1ConcRefinementYellowZone,0
uintx,G1ConfidencePercent,50
uintx,G1HeapRegionSize,0
uintx,G1HeapWastePercent,10
uintx,G1MixedGCCountTarget,8
intx,G1RSetRegionEntries,0
uintx,G1RSetScanBlockSize,64
intx,G1RSetSparseRegionEntries,0
intx,G1RSetUpdatingPauseTimePercent,10
intx,G1RefProcDrainInterval,10
uintx,G1ReservePercent,10
uintx,G1SATBBufferEnqueueingThresholdPercent,60
intx,G1SATBBufferSize,1024
intx,G1UpdateBufferSize,256
bool,G1UseAdaptiveConcRefinement,true
uintx,GCDrainStackTargetSize,64
uintx,GCHeapFreeLimit,2
uintx,GCLockerEdenExpansionPercent,5
bool,GCLockerInvokesConcurrent,false
uintx,GCLogFileSize,0
uintx,GCPauseIntervalMillis,0
uintx,GCTaskTimeStampEntries,200
uintx,GCTimeLimit,98
uintx,GCTimeRatio,99
uintx,HeapBaseMinAddress,2147483648
bool,HeapDumpAfterFullGC,false
bool,HeapDumpBeforeFullGC,false
bool,HeapDumpOnOutOfMemoryError,false
ccstr,HeapDumpPath
uintx,HeapFirstMaximumCompactionCount,3
uintx,HeapMaximumCompactionInterval,20
uintx,HeapSizePerGCThread,87241520
bool,IgnoreUnrecognizedVMOptions,false
bool,IncrementalInline,true
uintx,InitialCodeCacheSize,2555904
uintx,InitialHeapSize,0
uintx,InitialRAMFraction,64
uintx,InitialSurvivorRatio,8
intx,InitialTenuringThreshold,7
uintx,InitiatingHeapOccupancyPercent,45
bool,Inline,true
intx,InlineSmallCode,1000
bool,InsertMemBarAfterArraycopy,true
intx,InteriorEntryAlignment,16
intx,InterpreterProfilePercentage,33
bool,JNIDetachReleasesMonitors,true
bool,JavaMonitorsInStackTrace,true
intx,JavaPriority10_To_OSPriority,-1
intx,JavaPriority1_To_OSPriority,-1
intx,JavaPriority2_To_OSPriority,-1
intx,JavaPriority3_To_OSPriority,-1
intx,JavaPriority4_To_OSPriority,-1
intx,JavaPriority5_To_OSPriority,-1
intx,JavaPriority6_To_OSPriority,-1
intx,JavaPriority7_To_OSPriority,-1
intx,JavaPriority8_To_OSPriority,-1
intx,JavaPriority9_To_OSPriority,-1
bool,LIRFillDelaySlots,false
uintx,LargePageHeapSizeThreshold,134217728
uintx,LargePageSizeInBytes,0
bool,LazyBootClassLoader,true
intx,LiveNodeCountInliningCutoff,20000
bool,LoadExecStackDllInVMThread,true
intx,LoopOptsCount,43
intx,LoopUnrollLimit,60
intx,LoopUnrollMin,4
bool,LoopUnswitching,true
bool,ManagementServer,false
uintx,MarkStackSize,4194304
uintx,MarkStackSizeMax,536870912
intx,MarkSweepAlwaysCompactCount,4
uintx,MarkSweepDeadRatio,5
intx,MaxBCEAEstimateLevel,5
intx,MaxBCEAEstimateSize,150
uintx,MaxDirectMemorySize,0
bool,MaxFDLimit,true
uintx,MaxHeapFreeRatio,70
uintx,MaxHeapSize,130862280
intx,MaxInlineLevel,9
intx,MaxInlineSize,35
intx,MaxJavaStackTraceDepth,1024
intx,MaxJumpTableSize,65000
intx,MaxJumpTableSparseness,5
intx,MaxLabelRootDepth,1100
intx,MaxLoopPad,15
intx,MaxNodeLimit,65000
uintx,MaxPermHeapExpansion,5452592
uintx,MaxPermSize,87241520
uint64_t,MaxRAM,137438953472
uintx,MaxRAMFraction,4
intx,MaxRecursiveInlineLevel,1
intx,MaxTenuringThreshold,15
intx,MaxTrivialSize,6
intx,MaxVectorSize,32
bool,MethodFlushing,true
intx,MinCodeCacheFlushingInterval,30
uintx,MinHeapDeltaBytes,170392
uintx,MinHeapFreeRatio,40
intx,MinInliningThreshold,250
intx,MinJumpTableSize,18
uintx,MinPermHeapExpansion,340784
uintx,MinRAMFraction,2
uintx,MinSurvivorRatio,3
uintx,MinTLABSize,2048
intx,MonitorBound,0
bool,MonitorInUseLists,false
intx,MultiArrayExpandLimit,6
bool,MustCallLoadClassInternal,false
intx,NUMAChunkResizeWeight,20
uintx,NUMAInterleaveGranularity,2097152
intx,NUMAPageScanRate,256
intx,NUMASpaceResizeRate,1073741824
bool,NUMAStats,false
ccstr,NativeMemoryTracking,off
intx,NativeMonitorFlags,0
intx,NativeMonitorSpinLimit,20
intx,NativeMonitorTimeout,-1
bool,NeedsDeoptSuspend,false
bool,NeverActAsServerClassMachine,false
bool,NeverTenure,false
intx,NewRatio,2
uintx,NewSize,1363144
uintx,NewSizeThreadIncrease,5320
intx,NmethodSweepCheckInterval,5
intx,NmethodSweepFraction,16
intx,NodeLimitFudgeFactor,1000
uintx,NumberOfGCLogFiles,0
intx,NumberOfLoopInstrToAlign,4
intx,ObjectAlignmentInBytes,8
uintx,OldPLABSize,1024
uintx,OldPLABWeight,50
uintx,OldSize,5452592
bool,OmitStackTraceInFastThrow,true
ccstrlist,OnError
ccstrlist,OnOutOfMemoryError
intx,OnStackReplacePercentage,140
bool,OptimizeFill,true
bool,OptimizePtrCompare,true
bool,OptimizeStringConcat,true
bool,OptoBundling,false
intx,OptoLoopAlignment,16
bool,OptoScheduling,false
uintx,PLABWeight,75
bool,PSChunkLargeArrays,true
intx,ParGCArrayScanChunk,50
uintx,ParGCDesiredObjsFromOverflowList,20
bool,ParGCTrimOverflow,true
bool,ParGCUseLocalOverflow,false
intx,ParallelGCBufferWastePct,10
uintx,ParallelGCThreads,0
bool,ParallelGCVerbose,false
uintx,ParallelOldDeadWoodLimiterMean,50
uintx,ParallelOldDeadWoodLimiterStdDev,80
bool,ParallelRefProcBalancingEnabled,true
bool,ParallelRefProcEnabled,false
bool,PartialPeelAtUnsignedTests,true
bool,PartialPeelLoop,true
intx,PartialPeelNewPhiDelta,0
uintx,PausePadding,1
intx,PerBytecodeRecompilationCutoff,200
intx,PerBytecodeTrapLimit,4
intx,PerMethodRecompilationCutoff,400
intx,PerMethodTrapLimit,100
bool,PerfAllowAtExitRegistration,false
bool,PerfBypassFileSystemCheck,false
intx,PerfDataMemorySize,32768
intx,PerfDataSamplingInterval,50
ccstr,PerfDataSaveFile
bool,PerfDataSaveToFile,false
bool,PerfDisableSharedMem,false
intx,PerfMaxStringConstLength,1024
uintx,PermGenPadding,3
uintx,PermMarkSweepDeadRatio,20
uintx,PermSize,21810376
intx,PreInflateSpin,10
bool,PreferInterpreterNativeStubs,false
intx,PrefetchCopyIntervalInBytes,-1
intx,PrefetchFieldsAhead,-1
intx,PrefetchScanIntervalInBytes,-1
bool,PreserveAllAnnotations,false
uintx,PretenureSizeThreshold,0
bool,PrintAdaptiveSizePolicy,false
bool,PrintCMSInitiationStatistics,false
intx,PrintCMSStatistics,0
bool,PrintClassHistogram,false
bool,PrintClassHistogramAfterFullGC,false
bool,PrintClassHistogramBeforeFullGC,false
bool,PrintCommandLineFlags,false
bool,PrintCompilation,false
bool,PrintConcurrentLocks,false
intx,PrintFLSCensus,0
intx,PrintFLSStatistics,0
bool,PrintFlagsFinal,false
bool,PrintFlagsInitial,false
bool,PrintGC,false
bool,PrintGCApplicationConcurrentTime,false
bool,PrintGCApplicationStoppedTime,false
bool,PrintGCCause,true
bool,PrintGCDateStamps,false
bool,PrintGCDetails,false
bool,PrintGCTaskTimeStamps,false
bool,PrintGCTimeStamps,false
bool,PrintHeapAtGC,false
bool,PrintHeapAtGCExtended,false
bool,PrintHeapAtSIGBREAK,true
bool,PrintJNIGCStalls,false
bool,PrintJNIResolving,false
bool,PrintOldPLAB,false
bool,PrintOopAddress,false
bool,PrintPLAB,false
bool,PrintParallelOldGCPhaseTimes,false
bool,PrintPromotionFailure,false
bool,PrintReferenceGC,false
bool,PrintRevisitStats,false
bool,PrintSafepointStatistics,false
intx,PrintSafepointStatisticsCount,300
intx,PrintSafepointStatisticsTimeout,-1
bool,PrintSharedSpaces,false
bool,PrintStringTableStatistics,false
bool,PrintTLAB,false
bool,PrintTenuringDistribution,false
bool,PrintTieredEvents,false
bool,PrintVMOptions,false
bool,PrintVMQWaitTime,false
bool,PrintWarnings,true
uintx,ProcessDistributionStride,4
bool,ProfileInterpreter,true
bool,ProfileIntervals,false
intx,ProfileIntervalsTicks,100
intx,ProfileMaturityPercentage,20
bool,ProfileVM,false
