type,flagname,default,min,max
uintx,GCTaskTimeStampEntries,200,100,300
uintx,GCTimeLimit,98,49,147
uintx,GCTimeRatio,99,50,148
uintx,HeapBaseMinAddress,2147483648,1073741824,3221225472
ccstr,HeapDumpPath,0,0,0
uintx,HeapFirstMaximumCompactionCount,3,2,4
uintx,HeapMaximumCompactionInterval,20,10,30
uintx,HeapSizePerGCThread,87241520,43620760,130862280
uintx,InitialCodeCacheSize,2555904,1277952,3833856
uintx,InitialHeapSize,0,0,0
uintx,InitialRAMFraction,64,32,96
uintx,InitialSurvivorRatio,8,4,12
intx,InitialTenuringThreshold,7,4,10
uintx,InitiatingHeapOccupancyPercent,45,23,67
intx,InlineSmallCode,1000,500,1500
intx,InteriorEntryAlignment,16,8,24
intx,InterpreterProfilePercentage,33,17,49
intx,JavaPriority10_To_OSPriority,-1,-2,0
intx,JavaPriority1_To_OSPriority,-1,-2,0
intx,JavaPriority2_To_OSPriority,-1,-2,0
intx,JavaPriority3_To_OSPriority,-1,-2,0
intx,JavaPriority4_To_OSPriority,-1,-2,0
intx,JavaPriority5_To_OSPriority,-1,-2,0
intx,JavaPriority6_To_OSPriority,-1,-2,0
intx,JavaPriority7_To_OSPriority,-1,-2,0
intx,JavaPriority8_To_OSPriority,-1,-2,0
intx,JavaPriority9_To_OSPriority,-1,-2,0
uintx,LargePageHeapSizeThreshold,134217728,67108864,201326592
uintx,LargePageSizeInBytes,0,0,0
intx,LiveNodeCountInliningCutoff,20000,10000,30000
intx,LoopOptsCount,43,22,64
intx,LoopUnrollLimit,60,30,90
intx,LoopUnrollMin,4,2,6
uintx,MarkStackSize,4194304,2097152,6291456
uintx,MarkStackSizeMax,536870912,268435456,805306368
intx,MarkSweepAlwaysCompactCount,4,2,6
uintx,MarkSweepDeadRatio,5,3,7
intx,MaxBCEAEstimateLevel,5,3,7
intx,MaxBCEAEstimateSize,150,75,225
uintx,MaxDirectMemorySize,0,0,0
uintx,MaxHeapFreeRatio,70,35,105
uintx,MaxHeapSize,130862280,65431140,196293420
intx,MaxInlineLevel,9,5,13
intx,MaxInlineSize,35,18,52
intx,MaxJavaStackTraceDepth,1024,512,1536
intx,MaxJumpTableSize,65000,32500,97500
intx,MaxJumpTableSparseness,5,3,7
intx,MaxLabelRootDepth,1100,550,1650
intx,MaxLoopPad,15,8,22
intx,MaxNodeLimit,65000,32500,97500
uintx,MaxPermHeapExpansion,5452592,2726296,8178888
uintx,MaxPermSize,87241520,43620760,130862280
uint64_t,MaxRAM,137438953472,68719476736,206158430208
uintx,MaxRAMFraction,4,2,6
intx,MaxRecursiveInlineLevel,1,1,1
intx,MaxTenuringThreshold,15,8,22
intx,MaxTrivialSize,6,3,9
intx,MaxVectorSize,32,16,48
intx,MinCodeCacheFlushingInterval,30,15,45
uintx,MinHeapDeltaBytes,170392,85196,255588
uintx,MinHeapFreeRatio,40,20,60
intx,MinInliningThreshold,250,125,375
intx,MinJumpTableSize,18,9,27
uintx,MinPermHeapExpansion,340784,170392,511176
uintx,MinRAMFraction,2,1,3
uintx,MinSurvivorRatio,3,2,4
uintx,MinTLABSize,2048,1024,3072
intx,MonitorBound,0,0,0
intx,MultiArrayExpandLimit,6,3,9
intx,NUMAChunkResizeWeight,20,10,30
uintx,NUMAInterleaveGranularity,2097152,1048576,3145728
intx,NUMAPageScanRate,256,128,384
intx,NUMASpaceResizeRate,1073741824,536870912,1610612736
ccstr,NativeMemoryTracking,0,0,0
intx,NativeMonitorFlags,0,0,0
intx,NativeMonitorSpinLimit,20,10,30
intx,NativeMonitorTimeout,-1,-2,0
intx,NewRatio,2,1,3
uintx,NewSize,1363144,681572,2044716
uintx,NewSizeThreadIncrease,5320,2660,7980
intx,NmethodSweepCheckInterval,5,3,7
intx,NmethodSweepFraction,16,8,24
intx,NodeLimitFudgeFactor,1000,500,1500
uintx,NumberOfGCLogFiles,0,0,0
intx,NumberOfLoopInstrToAlign,4,2,6
intx,ObjectAlignmentInBytes,8,4,12
uintx,OldPLABSize,1024,512,1536
uintx,OldPLABWeight,50,25,75
uintx,OldSize,5452592,2726296,8178888
ccstrlist,OnError,0,0,0
ccstrlist,OnOutOfMemoryError,0,0,0
intx,OnStackReplacePercentage,140,70,210
intx,OptoLoopAlignment,16,8,24
uintx,PLABWeight,75,38,112
intx,ParGCArrayScanChunk,50,25,75
uintx,ParGCDesiredObjsFromOverflowList,20,10,30
intx,ParallelGCBufferWastePct,10,5,15
uintx,ParallelGCThreads,0,0,0
uintx,ParallelOldDeadWoodLimiterMean,50,25,75
uintx,ParallelOldDeadWoodLimiterStdDev,80,40,120
intx,PartialPeelNewPhiDelta,0,0,0
uintx,PausePadding,1,1,1
intx,PerBytecodeRecompilationCutoff,200,100,300
intx,PerBytecodeTrapLimit,4,2,6
intx,PerMethodRecompilationCutoff,400,200,600
intx,PerMethodTrapLimit,100,50,150
intx,PerfDataMemorySize,32768,16384,49152
intx,PerfDataSamplingInterval,50,25,75
ccstr,PerfDataSaveFile,0,0,0
intx,PerfMaxStringConstLength,1024,512,1536
uintx,PermGenPadding,3,2,4
uintx,PermMarkSweepDeadRatio,20,10,30
uintx,PermSize,21810376,10905188,32715564
intx,PreInflateSpin,10,5,15
intx,PrefetchCopyIntervalInBytes,-1,-2,0
intx,PrefetchFieldsAhead,-1,-2,0
intx,PrefetchScanIntervalInBytes,-1,-2,0
uintx,PretenureSizeThreshold,0,0,0
intx,PrintCMSStatistics,0,0,0
intx,PrintFLSCensus,0,0,0
intx,PrintFLSStatistics,0,0,0
intx,PrintSafepointStatisticsCount,300,150,450
intx,PrintSafepointStatisticsTimeout,-1,-2,0
uintx,ProcessDistributionStride,4,2,6
intx,ProfileIntervalsTicks,100,50,150
intx,ProfileMaturityPercentage,20,10,30
uintx,PromotedPadding,3,2,4
intx,QueuedAllocationWarningCount,0,0,0
intx,ReadPrefetchInstr,0,0,0
intx,RefDiscoveryPolicy,0,0,0
uintx,ReservedCodeCacheSize,50331648,25165824,75497472
intx,SafepointPollOffset,256,128,384
intx,SafepointSpinBeforeYield,2000,1000,3000
